Auto Stop Name,Latitude,Longitude
BNR AUTO STOP,23.6931,88.318964
KIDDERPORE AUTO STOP,22.542061,88.318954
BHABANI BHAWAN AUTO STOP,22.54589,88.318964
ALIPORE ZOO AUTO STOP,22.5367,88.3334
HAZRA AUTO STOP,22.5237,88.3467
RASHBEHARI AUTO STOP,22.5171,88.3457
GARIAHAT AUTO STOP,22.5197,88.3652
KASBA POST OFFICE AUTO STOP,22.5188,88.375
HALTU AUTO STOP,22.500914,88.394936
SAFUIPARA AUTO STOP,22.6396737,88.3300048
EM BYPASS AUTO STOP,22.561594,88.408495
BHABANI BHAWAN HAZRA AUTO STOP,22.561694,88.408495
TOLLYGUNGE PHARI AUTO STOP,22.4986357,88.3453906
JADAVPUR PS AUTO STOP,22.4961,88.3706
8B AUTO STOP,22.4957,88.3707
SANTOSHPUR AUTO STOP,22.776,88.5002
AJOYNAGAR AUTO STOP,22.4895,88.3954
NATURE PARK AUTO STOP,22.4895,88.3954
TARATALA AUTO STOP,22.5173,88.298
DESAPRIYA PARK AUTO STOP,22.5186,88.3535
GOLPARK AUTO STOP,22.515868,88.365136
DHAKURIA AUTO STOP,22.5094,88.3676
JADAVPUR 8B AUTO STOP,22.4957,88.3707
EM BYPASS NEW GARIA AUTO STOP,22.4726,88.3981
GARIA STATION AUTO STOP,22.4681,88.4039
DURGAPUR BRIDGE AUTO STOP,23.53344,87.32193
KALIGHAT AUTO STOP,22.516951,88.34587
BHAWANIPUR AUTO STOP,22.5376,88.3526
RABINDRA SADAN AUTO STOP,22.5412,88.3473
MAIDAN AUTO STOP,22.554443,88.340569
PARK STREET AUTO STOP,22.57687,88.35047
ESPLANADE AUTO STOP,22.5631,88.3507
CHANDNI CHOWK AUTO STOP,22.568217,88.356643
CENTRAL AUTO STOP,22.5787,88.3608
MEDICAL COLLEGE AUTO STOP,22.598038,88.377494
MG ROAD METRO AUTO STOP,22.665815,88.39022
GIRISH PARK AUTO STOP,22.5862,88.3637
SHOBHABAZAR AUTO STOP,22.5853,88.3752
SHYAMBAZAR 5 POINT AUTO STOP,22.601983,88.3731
RG KAR AUTO STOP,22.6046,88.3783
BELGACHIA METRO AUTO STOP,22.6058,88.3866
RUBY AUTO STOP,22.515,88.4012
KASBA AUTO STOP,22.517618,88.384048
BALLYGUNGE STATION AUTO STOP,22.5816,88.3848
WELLINGTON AUTO STOP,22.5325,88.3764
MOULALI AUTO STOP,22.5611,88.366
SEALDAH AUTO STOP,22.567764,88.370946
RAJABAZAR AUTO STOP,22.5816,88.3848
MANIKTALA AUTO STOP,22.5853,88.3752
KHANNA AUTO STOP,22.5325,88.3764
BANGUR AVENUE AUTO STOP,22.6027,88.4121
DIAMOND PLAZA AUTO STOP,22.614866,88.41269
SHISHU MANGAL AUTO STOP,22.5232,88.352
MINTO PARK AUTO STOP,22.5414,88.3544
COLLEGE STREET AUTO STOP,22.6013,88.3735
HATIBAGAN AUTO STOP,22.5946,88.3709
BEHALA 14 NO. AUTO STOP,22.5023,88.3184
MOMINPORE AUTO STOP,22.5299,88.3145
EKBALPUR AUTO STOP,22.594044,88.385956
HASTINGS AUTO STOP,22.5325,88.3764
PTS AUTO STOP,22.59577,88.2636641
METIABRUZ AUTO STOP,22.543571,88.267934
RAMNAGAR AUTO STOP,22.5652,88.267934
BABUGHAT AUTO STOP,22.5652,88.3396
BICHALIGHAT AUTO STOP,22.567415,88.392433
FATEHPUR 28 NO AUTO STOP,22.5435,88.3396
RAJABAGAN AUTO STOP,22.5435,88.2862
BICHALI GHAR AUTO STOP,22.572645,88.3396
MUDIALI MORE AUTO STOP,22.572645,88.363892
H.M.G. COLLEGE AUTO STOP,22.5652,88.3396
FATEHPUR AUTO STOP,22.567415,88.392433
