source,dest,time,cost,safety
BNR AUTO STOP,KIDDERPORE AUTO STOP,3,4,1
KIDDERPORE AUTO STOP,BHABANI BHAWAN AUTO STOP,3,4,1
BHABANI BHAWAN AUTO STOP,ALIPORE ZOO AUTO STOP,3,4,1
ALIPORE ZOO AUTO STOP,HAZRA AUTO STOP,3,4,1
HAZRA AUTO STOP,RASHBEHARI AUTO STOP,3,4,1
RASHBEHARI AUTO STOP,GARIAHAT AUTO STOP,3,4,1
GARIAHAT AUTO STOP,KASBA POST OFFICE AUTO STOP,3,4,1
KASBA POST OFFICE AUTO STOP,HALTU AUTO STOP,3,4,1
HALTU AUTO STOP,SAFUIPARA AUTO STOP,3,4,1
SAFUIPARA AUTO STOP,EM BYPASS AUTO STOP,3,4,1
KIDDERPORE AUTO STOP,ALIPORE ZOO AUTO STOP,3,4,1
ALIPORE ZOO AUTO STOP,BHABANI BHAWAN HAZRA AUTO STOP,3,4,1
BHABANI BHAWAN HAZRA AUTO STOP,RASHBEHARI AUTO STOP,3,4,1
RASHBEHARI AUTO STOP,TOLLYGUNGE PHARI AUTO STOP,3,4,1
TOLLYGUNGE PHARI AUTO STOP,JADAVPUR PS AUTO STOP,3,4,1
JADAVPUR PS AUTO STOP,8B AUTO STOP,3,4,1
8B AUTO STOP,SANTOSHPUR AUTO STOP,3,4,1
SANTOSHPUR AUTO STOP,AJOYNAGAR AUTO STOP,3,4,1
AJOYNAGAR AUTO STOP,EM BYPASS AUTO STOP,3,4,1
NATURE PARK AUTO STOP,TARATALA AUTO STOP,3,4,1
TARATALA AUTO STOP,TOLLYGUNGE PHARI AUTO STOP,3,4,1
TOLLYGUNGE PHARI AUTO STOP,RASHBEHARI AUTO STOP,3,4,1
RASHBEHARI AUTO STOP,DESAPRIYA PARK AUTO STOP,3,4,1
DESAPRIYA PARK AUTO STOP,GOLPARK AUTO STOP,3,4,1
GOLPARK AUTO STOP,DHAKURIA AUTO STOP,3,4,1
DHAKURIA AUTO STOP,JADAVPUR 8B AUTO STOP,3,4,1
JADAVPUR 8B AUTO STOP,SANTOSHPUR AUTO STOP,3,4,1
AJOYNAGAR AUTO STOP,EM BYPASS NEW GARIA AUTO STOP,3,4,1
EM BYPASS NEW GARIA AUTO STOP,GARIA STATION AUTO STOP,3,4,1
DURGAPUR BRIDGE AUTO STOP,RASHBEHARI AUTO STOP,3,4,1
RASHBEHARI AUTO STOP,KALIGHAT AUTO STOP,3,4,1
KALIGHAT AUTO STOP,HAZRA AUTO STOP,3,4,1
HAZRA AUTO STOP,BHAWANIPUR AUTO STOP,3,4,1
BHAWANIPUR AUTO STOP,RABINDRA SADAN AUTO STOP,3,4,1
RABINDRA SADAN AUTO STOP,MAIDAN AUTO STOP,3,4,1
MAIDAN AUTO STOP,PARK STREET AUTO STOP,3,4,1
PARK STREET AUTO STOP,ESPLANADE AUTO STOP,3,4,1
ESPLANADE AUTO STOP,CHANDNI CHOWK AUTO STOP,3,4,1
CHANDNI CHOWK AUTO STOP,CENTRAL AUTO STOP,3,4,1
CENTRAL AUTO STOP,MEDICAL COLLEGE AUTO STOP,3,4,1
MEDICAL COLLEGE AUTO STOP,MG ROAD METRO AUTO STOP,3,4,1
MG ROAD METRO AUTO STOP,GIRISH PARK AUTO STOP,3,4,1
GIRISH PARK AUTO STOP,SHOBHABAZAR AUTO STOP,3,4,1
SHOBHABAZAR AUTO STOP,SHYAMBAZAR 5 POINT AUTO STOP,3,4,1
SHYAMBAZAR 5 POINT AUTO STOP,RG KAR AUTO STOP,3,4,1
RG KAR AUTO STOP,BELGACHIA METRO AUTO STOP,3,4,1
RUBY AUTO STOP,KASBA AUTO STOP,3,4,1
KASBA AUTO STOP,BALLYGUNGE STATION AUTO STOP,3,4,1
BALLYGUNGE STATION AUTO STOP,GARIAHAT AUTO STOP,3,4,1
GARIAHAT AUTO STOP,RASHBEHARI AUTO STOP,3,4,1
ESPLANADE AUTO STOP,WELLINGTON AUTO STOP,3,4,1
WELLINGTON AUTO STOP,MOULALI AUTO STOP,3,4,1
MOULALI AUTO STOP,SEALDAH AUTO STOP,3,4,1
SEALDAH AUTO STOP,RAJABAZAR AUTO STOP,3,4,1
RAJABAZAR AUTO STOP,MANIKTALA AUTO STOP,3,4,1
