Bus Stop Name,Latitude,Longitude
BNR BUS STOP,23.6931,88.318964
KIDDERPORE BUS STOP,22.542061,88.318954
BHABANI BHAWAN BUS STOP,22.54589,88.318964
ALIPORE ZOO BUS STOP,22.5367,88.3334
HAZRA BUS STOP,22.5237,88.3467
RASHBEHARI BUS STOP,22.5171,88.3457
GARIAHAT BUS STOP,22.5197,88.3652
KASBA POST OFFICE BUS STOP,22.5188,88.375
HALTU BUS STOP,22.500914,88.394936
SAFUIPARA BUS STOP,22.6396737,88.3300048
EM BYPASS BUS STOP,22.561594,88.408495
BHABANI BHAWAN HAZRA BUS STOP,22.561694,88.408495
TOLLYGUNGE PHARI BUS STOP,22.4986357,88.3453906
JADAVPUR PS BUS STOP,22.4961,88.3706
8B BUS STOP,22.4957,88.3707
SANTOSHPUR BUS STOP,22.776,88.5002
AJOYNAGAR BUS STOP,22.4895,88.3954
NATURE PARK BUS STOP,22.4895,88.3954
TARATALA BUS STOP,22.5173,88.298
DESAPRIYA PARK BUS STOP,22.5186,88.3535
GOLPARK BUS STOP,22.515868,88.365136
DHAKURIA BUS STOP,22.5094,88.3676
JADAVPUR 8B BUS STOP,22.4957,88.3707
EM BYPASS NEW GARIA BUS STOP,22.4726,88.3981
GARIA STATION BUS STOP,22.4681,88.4039
DURGAPUR BRIDGE BUS STOP,23.53344,87.32193
KALIGHAT BUS STOP,22.516951,88.34587
BHAWANIPUR BUS STOP,22.5376,88.3526
RABINDRA SADAN BUS STOP,22.5412,88.3473
MAIDAN BUS STOP,22.554443,88.340569
PARK STREET BUS STOP,22.57687,88.35047
ESPLANADE BUS STOP,22.5631,88.3507
CHANDNI CHOWK BUS STOP,22.568217,88.356643
CENTRAL BUS STOP,22.5787,88.3608
MEDICAL COLLEGE BUS STOP,22.598038,88.377494
MG ROAD METRO BUS STOP,22.665815,88.39022
GIRISH PARK BUS STOP,22.5862,88.3637
SHOBHABAZAR BUS STOP,22.5853,88.3752
SHYAMBAZAR 5 POINT BUS STOP,22.601983,88.3731
RG KAR BUS STOP,22.6046,88.3783
BELGACHIA METRO BUS STOP,22.6058,88.3866
RUBY BUS STOP,22.515,88.4012
KASBA BUS STOP,22.517618,88.384048
BALLYGUNGE STATION BUS STOP,22.5816,88.3848
WELLINGTON BUS STOP,22.5325,88.3764
MOULALI BUS STOP,22.5611,88.366
SEALDAH BUS STOP,22.567764,88.370946
RAJABAZAR BUS STOP,22.5816,88.3848
MANIKTALA BUS STOP,22.5853,88.3752
KHANNA BUS STOP,22.5325,88.3764
BANGUR AVENUE BUS STOP,22.6027,88.4121
DIAMOND PLAZA BUS STOP,22.614866,88.41269
SHISHU MANGAL BUS STOP,22.5232,88.352
MINTO PARK BUS STOP,22.5414,88.3544
COLLEGE STREET BUS STOP,22.6013,88.3735
HATIBAGAN BUS STOP,22.5946,88.3709
BEHALA 14 NO. BUS STOP,22.5023,88.3184
MOMINPORE BUS STOP,22.5299,88.3145
