source,dest,time,cost,safety
BNR BUS STOP,KIDDERPORE BUS STOP,4,2,3
KIDDERPORE BUS STOP,BHABANI BHAWAN BUS STOP,4,2,3
BHABANI BHAWAN BUS STOP,ALIPORE ZOO BUS STOP,4,2,3
ALIPORE ZOO BUS STOP,HAZRA BUS STOP,4,2,3
HAZRA BUS STOP,RASHBEHARI BUS STOP,4,2,3
RASHBEHARI BUS STOP,GARIAHAT BUS STOP,4,2,3
GARIAHAT BUS STOP,KASBA POST OFFICE BUS STOP,4,2,3
KASBA POST OFFICE BUS STOP,HALTU BUS STOP,4,2,3
HALTU BUS STOP,SAFUIPARA BUS STOP,4,2,3
SAFUIPARA BUS STOP,EM BYPASS BUS STOP,4,2,3
KIDDERPORE BUS STOP,ALIPORE ZOO BUS STOP,4,2,3
ALIPORE ZOO BUS STOP,BHABANI BHAWAN HAZRA BUS STOP,4,2,3
BHABANI BHAWAN HAZRA BUS STOP,RASHBEHARI BUS STOP,4,2,3
RASHBEHARI BUS STOP,TOLLYGUNGE PHARI BUS STOP,4,2,3
TOLLYGUNGE PHARI BUS STOP,JADAVPUR PS BUS STOP,4,2,3
JADAVPUR PS BUS STOP,8B BUS STOP,4,2,3
8B BUS STOP,SANTOSHPUR BUS STOP,4,2,3
SANTOSHPUR BUS STOP,AJOYNAGAR BUS STOP,4,2,3
AJOYNAGAR BUS STOP,EM BYPASS BUS STOP,4,2,3
NATURE PARK BUS STOP,TARATALA BUS STOP,4,2,3
TARATALA BUS STOP,TOLLYGUNGE PHARI BUS STOP,4,2,3
TOLLYGUNGE PHARI BUS STOP,RASHBEHARI BUS STOP,4,2,3
RASHBEHARI BUS STOP,DESAPRIYA PARK BUS STOP,4,2,3
DESAPRIYA PARK BUS STOP,GOLPARK BUS STOP,4,2,3
GOLPARK BUS STOP,DHAKURIA BUS STOP,4,2,3
DHAKURIA BUS STOP,JADAVPUR 8B BUS STOP,4,2,3
JADAVPUR 8B BUS STOP,SANTOSHPUR BUS STOP,4,2,3
AJOYNAGAR BUS STOP,EM BYPASS NEW GARIA BUS STOP,4,2,3
EM BYPASS NEW GARIA BUS STOP,GARIA STATION BUS STOP,4,2,3
DURGAPUR BRIDGE BUS STOP,RASHBEHARI BUS STOP,4,2,3
RASHBEHARI BUS STOP,KALIGHAT BUS STOP,4,2,3
KALIGHAT BUS STOP,HAZRA BUS STOP,4,2,3
HAZRA BUS STOP,BHAWANIPUR BUS STOP,4,2,3
BHAWANIPUR BUS STOP,RABINDRA SADAN BUS STOP,4,2,3
RABINDRA SADAN BUS STOP,MAIDAN BUS STOP,4,2,3
MAIDAN BUS STOP,PARK STREET BUS STOP,4,2,3
PARK STREET BUS STOP,ESPLANADE BUS STOP,4,2,3
ESPLANADE BUS STOP,CHANDNI CHOWK BUS STOP,4,2,3
CHANDNI CHOWK BUS STOP,CENTRAL BUS STOP,4,2,3
CENTRAL BUS STOP,MEDICAL COLLEGE BUS STOP,4,2,3
MEDICAL COLLEGE BUS STOP,MG ROAD METRO BUS STOP,4,2,3
MG ROAD METRO BUS STOP,GIRISH PARK BUS STOP,4,2,3
GIRISH PARK BUS STOP,SHOBHABAZAR BUS STOP,4,2,3
SHOBHABAZAR BUS STOP,SHYAMBAZAR 5 POINT BUS STOP,4,2,3
SHYAMBAZAR 5 POINT BUS STOP,RG KAR BUS STOP,4,2,3
RG KAR BUS STOP,BELGACHIA METRO BUS STOP,4,2,3
RUBY BUS STOP,KASBA BUS STOP,4,2,3
KASBA BUS STOP,BALLYGUNGE STATION BUS STOP,4,2,3
BALLYGUNGE STATION BUS STOP,GARIAHAT BUS STOP,4,2,3
GARIAHAT BUS STOP,RASHBEHARI BUS STOP,4,2,3
ESPLANADE BUS STOP,WELLINGTON BUS STOP,4,2,3
WELLINGTON BUS STOP,MOULALI BUS STOP,4,2,3
