source,dest,time,cost,safety
NOAPARA  METRO STOP,DUMDUM METRO STOP,1,3,2
DUMDUM METRO STOP,BELGACHHIA METRO STOP,1,3,2
BELGACHHIA METRO STOP,SHYAMBAZAR METRO STOP,1,3,2
SHYAMBAZAR METRO STOP,SHOBHABAZAR SUTANUTI METRO STOP,1,3,2
SHOBHABAZAR SUTANUTI METRO STOP,GIRISH PARK METRO STOP,1,3,2
GIRISH PARK METRO STOP,MAHATMA GANDHI ROAD METRO STOP,1,3,2
MAHATMA GANDHI ROAD METRO STOP,CENTRAL METRO STOP,1,3,2
CENTRAL METRO STOP,CHANDNI CHOWK METRO STOP,1,3,2
CHANDNI CHOWK METRO STOP,ESPLANED METRO STOP,1,3,2
ESPLANED METRO STOP,PARK STREET METRO STOP,1,3,2
PARK STREET METRO STOP,MAIDAN METRO STOP,1,3,2
MAIDAN METRO STOP,RABINDRA SADAN METRO STOP,1,3,2
RABINDRA SADAN METRO STOP,NETAJI BHAVAN METRO STOP,1,3,2
NETAJI BHAVAN METRO STOP,JATIN DAS PARK METRO STOP,1,3,2
JATIN DAS PARK METRO STOP,KALIGHAT METRO STOP,1,3,2
KALIGHAT METRO STOP,RABINDRA SAROBAR METRO STOP,1,3,2
RABINDRA SAROBAR METRO STOP,MAHANAYAK UTTAM KUMAR METRO STOP,1,3,2
MAHANAYAK UTTAM KUMAR METRO STOP,NETAJI  METRO STOP,1,3,2
NETAJI  METRO STOP,MASTERDA SURYA SEN METRO STOP,1,3,2
MASTERDA SURYA SEN METRO STOP,GITANJALI METRO STOP,1,3,2
GITANJALI METRO STOP,KAJI NAJRUL METRO STOP,1,3,2
KAJI NAJRUL METRO STOP,SHAHID KHUDIRAM METRO STOP,1,3,2
SHAHID KHUDIRAM METRO STOP,KAVI SUBHAS  METRO STOP,1,3,2
BARANAGAR METRO STOP,NOAPARA  METRO STOP,1,3,2
DAKHINESWAR METRO STOP,BARANAGAR METRO STOP,1,3,2
SALT LAKE SECTOR V METRO STOP,KARUNAMOYEE METRO STOP,1,3,2
KARUNAMOYEE METRO STOP,CENTRAL PARK METRO STOP,1,3,2
CENTRAL PARK METRO STOP,CITY CENTER  METRO STOP,1,3,2
CITY CENTER  METRO STOP,BENGAL CHEMICAL  METRO STOP,1,3,2
BENGAL CHEMICAL  METRO STOP,SOLT LAKE STEDIUM METRO STOP,1,3,2
SOLT LAKE STEDIUM METRO STOP,PHOOLBAGAN  METRO STOP,1,3,2
PHOOLBAGAN  METRO STOP,SEALDAH  METRO STOP,1,3,2
SEALDAH  METRO STOP,ESPLANED METRO STOP,1,3,2
JOKA METRO STOP,THAKURPUKUR METRO STOP,1,3,2
THAKURPUKUR METRO STOP,SAKHERBAZAR METRO STOP,1,3,2
SAKHERBAZAR METRO STOP,BEHALA CHOWRASTA METRO STOP,1,3,2
BEHALA CHOWRASTA METRO STOP,BEHALA BAZAR  METRO STOP,1,3,2
BEHALA BAZAR  METRO STOP,TARATALA  METRO STOP,1,3,2
