Train Stop Name,Latitude,Longitude
KATWA JN TRAIN STOP,23.64797,88.128418
DAINHAT TRAIN STOP,23.6014,88.170403
SAHEBTALA TRAIN STOP,23.592127,88.201091
AGRADWIP TRAIN STOP,23.608841,88.360641
PATULI TRAIN STOP,23.547199,88.252296
BELERHAT TRAIN STOP,22.56327,88.40707
LAKSHMIPUR TRAIN STOP,23.618061,88.015467
MERTALA PHALEYA TRAIN STOP,23.481474,88.320293
PURBASTHALI TRAIN STOP,23.44511,88.311493
BHANDARTIKURI TRAIN STOP,23.44414,88.32613
BISHNUPRIYA TRAIN STOP,23.420361,88.347977
NABADWIP DHAM TRAIN STOP,23.39919,88.36352
SAMUDRAGARH TRAIN STOP,23.3354,88.324699
DHATRIGRAM TRAIN STOP,23.2777,88.311798
BAGHNAPARA TRAIN STOP,23.236093,88.289629
AMBIKA KALNA TRAIN STOP,23.224859,88.348221
GUPTIPARA TRAIN STOP,23.202867,88.410031
BEHULA TRAIN STOP,23.182817,88.427839
SOMRA BAZAR TRAIN STOP,23.139232,88.432816
BALAGARH TRAIN STOP,23.13035,88.470573
JIRAT TRAIN STOP,22.83296,88.622841
KHAMARGACHHI TRAIN STOP,23.06581,88.44258
DUMURDAHA TRAIN STOP,23.03978816,88.43219407
KUNTIGHAT TRAIN STOP,23.00318,88.410118
TRIBENI TRAIN STOP,22.984699,88.397903
BANSBERIA TRAIN STOP,22.95509,88.403152
BANDEL JN TRAIN STOP,22.923057,88.378222
HOOGHLY TRAIN STOP,22.896255,88.246117
CHINSURAH TRAIN STOP,22.8958,88.395714
CHANDERNAGOR TRAIN STOP,22.869012,88.362347
MANKUNDU TRAIN STOP,22.847059,88.349998
BHADRESHWAR TRAIN STOP,22.8278595,88.34151362
BAIDYABATI TRAIN STOP,22.774691,88.31237
SEORAPHULI JN TRAIN STOP,22.774395,88.328723
SERAMPORE TRAIN STOP,22.73794,88.34449
RISHRA TRAIN STOP,22.724401,88.328789
KONNAGAR TRAIN STOP,22.70438,88.326012
HIND MOTOR TRAIN STOP,22.51096,88.33666
UTTARPARA TRAIN STOP,22.66926,88.34552
BALLY TRAIN STOP,22.649509,88.336995
BELUR TRAIN STOP,22.636769,88.339787
LILUAH TRAIN STOP,22.625071,88.329514
HOWRAH TRAIN STOP,22.59577,88.263641
TIKIAPARA TRAIN STOP,22.533279,88.304878
DASNAGAR TRAIN STOP,22.60393,88.321449
RAMRAJATALA TRAIN STOP,22.592932,88.299263
SANTRAGACHI JN TRAIN STOP,22.589487,88.301606
BANKRA NAYABAZAR TRAIN STOP,22.60849,88.26722
KONA TRAIN STOP,22.618541,88.296478
DANSI TRAIN STOP,22.622283,88.266454
JHALURBERI TRAIN STOP,22.51096,88.33666
MAKARDAHA TRAIN STOP,22.617689,88.248032
DOMJUR ROAD TRAIN STOP,22.60296,88.20627
DOMJUR TRAIN STOP,22.602909,88.233917
DAKSHINBARI TRAIN STOP,22.656391,88.182632
BARGACHIA TRAIN STOP,22.674681,88.174232
PANTIHAL TRAIN STOP,22.650869,88.127068
MUNSHIRHAT TRAIN STOP,22.671721,88.097076
MAHENDRALALNAGAR TRAIN STOP,22.643509,88.091484
SHALIMAR TRAIN STOP,22.554874,88.316564
PADMAPUKUR TRAIN STOP,22.5637,88.300751
MAURIGRAM TRAIN STOP,22.580446,88.255999
ANDUL TRAIN STOP,22.59647,88.225609
SANKRAIL TRAIN STOP,22.58119,88.208138
ABADA TRAIN STOP,22.548304,88.19968
NALPUR TRAIN STOP,22.530083,88.186516
BAURIA TRAIN STOP,22.502996,88.16319
CHENGAIL TRAIN STOP,22.502939,88.135178
PHULESWAR TRAIN STOP,22.479839,88.113159
ULUBERIA TRAIN STOP,22.474436,88.100037
BIRSHIBPUR TRAIN STOP,22.47953,88.047302
KULGACHIA TRAIN STOP,22.47246,88.014732
