source,dest,time,cost,safety
KATWA JN TRAIN STOP,DAINHAT TRAIN STOP,2,1,4
DAINHAT TRAIN STOP,SAHEBTALA TRAIN STOP,2,1,4
SAHEBTALA TRAIN STOP,AGRADWIP TRAIN STOP,2,1,4
AGRADWIP TRAIN STOP,PATULI TRAIN STOP,2,1,4
PATULI TRAIN STOP,BELERHAT TRAIN STOP,2,1,4
BELERHAT TRAIN STOP,LAKSHMIPUR TRAIN STOP,2,1,4
LAKSHMIPUR TRAIN STOP,MERTALA PHALEYA TRAIN STOP,2,1,4
MERTALA PHALEYA TRAIN STOP,PURBASTHALI TRAIN STOP,2,1,4
PURBASTHALI TRAIN STOP,BHANDARTIKURI TRAIN STOP,2,1,4
BHANDARTIKURI TRAIN STOP,BISHNUPRIYA TRAIN STOP,2,1,4
BISHNUPRIYA TRAIN STOP,NABADWIP DHAM TRAIN STOP,2,1,4
NABADWIP DHAM TRAIN STOP,SAMUDRAGARH TRAIN STOP,2,1,4
SAMUDRAGARH TRAIN STOP,DHATRIGRAM TRAIN STOP,2,1,4
DHATRIGRAM TRAIN STOP,BAGHNAPARA TRAIN STOP,2,1,4
BAGHNAPARA TRAIN STOP,AMBIKA KALNA TRAIN STOP,2,1,4
AMBIKA KALNA TRAIN STOP,GUPTIPARA TRAIN STOP,2,1,4
GUPTIPARA TRAIN STOP,BEHULA TRAIN STOP,2,1,4
BEHULA TRAIN STOP,SOMRA BAZAR TRAIN STOP,2,1,4
SOMRA BAZAR TRAIN STOP,BALAGARH TRAIN STOP,2,1,4
BALAGARH TRAIN STOP,JIRAT TRAIN STOP,2,1,4
JIRAT TRAIN STOP,KHAMARGACHHI TRAIN STOP,2,1,4
KHAMARGACHHI TRAIN STOP,DUMURDAHA TRAIN STOP,2,1,4
DUMURDAHA TRAIN STOP,KUNTIGHAT TRAIN STOP,2,1,4
KUNTIGHAT TRAIN STOP,TRIBENI TRAIN STOP,2,1,4
TRIBENI TRAIN STOP,BANSBERIA TRAIN STOP,2,1,4
BANSBERIA TRAIN STOP,BANDEL JN TRAIN STOP,2,1,4
BANDEL JN TRAIN STOP,HOOGHLY TRAIN STOP,2,1,4
HOOGHLY TRAIN STOP,CHINSURAH TRAIN STOP,2,1,4
CHINSURAH TRAIN STOP,CHANDERNAGOR TRAIN STOP,2,1,4
CHANDERNAGOR TRAIN STOP,MANKUNDU TRAIN STOP,2,1,4
MANKUNDU TRAIN STOP,BHADRESHWAR TRAIN STOP,2,1,4
BHADRESHWAR TRAIN STOP,BAIDYABATI TRAIN STOP,2,1,4
BAIDYABATI TRAIN STOP,SEORAPHULI JN TRAIN STOP,2,1,4
SEORAPHULI JN TRAIN STOP,SERAMPORE TRAIN STOP,2,1,4
SERAMPORE TRAIN STOP,RISHRA TRAIN STOP,2,1,4
RISHRA TRAIN STOP,KONNAGAR TRAIN STOP,2,1,4
KONNAGAR TRAIN STOP,HIND MOTOR TRAIN STOP,2,1,4
HIND MOTOR TRAIN STOP,UTTARPARA TRAIN STOP,2,1,4
UTTARPARA TRAIN STOP,BALLY TRAIN STOP,2,1,4
BALLY TRAIN STOP,BELUR TRAIN STOP,2,1,4
BELUR TRAIN STOP,LILUAH TRAIN STOP,2,1,4
LILUAH TRAIN STOP,HOWRAH TRAIN STOP,2,1,4
HOWRAH TRAIN STOP,TIKIAPARA TRAIN STOP,2,1,4
TIKIAPARA TRAIN STOP,DASNAGAR TRAIN STOP,2,1,4
DASNAGAR TRAIN STOP,RAMRAJATALA TRAIN STOP,2,1,4
RAMRAJATALA TRAIN STOP,SANTRAGACHI JN TRAIN STOP,2,1,4
SANTRAGACHI JN TRAIN STOP,BANKRA NAYABAZAR TRAIN STOP,2,1,4
BANKRA NAYABAZAR TRAIN STOP,KONA TRAIN STOP,2,1,4
KONA TRAIN STOP,DANSI TRAIN STOP,2,1,4
DANSI TRAIN STOP,JHALURBERI TRAIN STOP,2,1,4
JHALURBERI TRAIN STOP,MAKARDAHA TRAIN STOP,2,1,4
